"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (MXN)",Ends,"Estimated ad recall lift rate","Link clicks","Unique link clicks","CTR (all)","Unique CTR (link click-through rate)",Frequency
2022-05-04,2022-05-04,Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",260,estimated_ad_recallers,995,1104,0.025730769230769,-,-,-,6.69,2022-05-09,26.130653,2,2,0.181159,0.201005,1.109548
2022-05-04,2022-05-04,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",90,estimated_ad_recallers,347,374,0.025111111111111,-,-,-,2.26,2022-05-09,25.936599,1,1,0.26738,0.288184,1.07781
2022-05-04,2022-05-04,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",30,estimated_ad_recallers,126,138,0.024,-,-,-,0.72,2022-05-09,23.809524,,,0,0,1.095238
2022-05-03,2022-05-03,Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",80,estimated_ad_recallers,340,348,0.01775,-,-,-,1.42,2022-05-09,23.529412,,,0,0,1.023529
2022-05-04,2022-05-04,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",210,estimated_ad_recallers,899,988,0.026809523809524,Average,-,-,5.63,2022-05-09,23.359288,2,2,0.202429,0.222469,1.098999
2022-05-07,2022-05-07,Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",410,estimated_ad_recallers,1945,2099,0.03880487804878,-,-,-,15.91,2022-05-09,21.079692,11,10,0.571701,0.514139,1.079177
2022-05-04,2022-05-04,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",60,estimated_ad_recallers,285,308,0.0275,-,-,-,1.65,2022-05-09,21.052632,1,1,0.324675,0.350877,1.080702
2022-05-06,2022-05-06,Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",420,estimated_ad_recallers,2001,2183,0.039238095238095,-,-,-,16.48,2022-05-09,20.989505,5,5,0.32066,0.249875,1.090955
2022-05-05,2022-05-05,Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",410,estimated_ad_recallers,1976,2102,0.030317073170732,-,-,-,12.43,2022-05-09,20.748988,4,4,0.285442,0.202429,1.063765
2022-05-05,2022-05-05,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",250,estimated_ad_recallers,1216,1305,0.03512,-,-,-,8.78,2022-05-09,20.559211,,,0,0,1.073191
2022-05-04,2022-05-04,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",50,estimated_ad_recallers,247,264,0.031,-,-,-,1.55,2022-05-09,20.242915,,,0,0,1.068826
2022-05-03,2022-05-03,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",40,estimated_ad_recallers,200,208,0.0225,-,-,-,0.9,2022-05-09,20,1,1,0.480769,0.5,1.04
2022-05-07,2022-05-07,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",380,estimated_ad_recallers,1924,2104,0.044789473684211,-,-,-,17.02,2022-05-09,19.75052,5,5,0.237643,0.259875,1.093555
2022-05-06,2022-05-06,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",110,estimated_ad_recallers,562,596,0.038181818181818,-,-,-,4.2,2022-05-09,19.572954,2,2,0.33557,0.355872,1.060498
2022-05-07,2022-05-07,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",790,estimated_ad_recallers,4056,4352,0.037392405063291,"Below average - Bottom 35% of ads",-,-,29.54,2022-05-09,19.477318,5,5,0.160846,0.123274,1.072978
2022-05-06,2022-05-06,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",400,estimated_ad_recallers,2056,2265,0.045425,-,-,-,18.17,2022-05-09,19.455253,10,10,0.529801,0.486381,1.101654
2022-05-04,2022-05-04,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",40,estimated_ad_recallers,207,224,0.0295,-,-,-,1.18,2022-05-09,19.323671,,,0,0,1.082126
2022-05-07,2022-05-07,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",90,estimated_ad_recallers,476,503,0.039666666666667,-,-,-,3.57,2022-05-09,18.907563,3,3,0.596421,0.630252,1.056723
2022-05-06,2022-05-06,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",590,estimated_ad_recallers,3135,3367,0.036203389830508,"Below average - Bottom 35% of ads",-,-,21.36,2022-05-09,18.819777,2,2,0.2376,0.063796,1.074003
2022-05-05,2022-05-05,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",390,estimated_ad_recallers,2076,2247,0.032871794871795,"Below average - Bottom 35% of ads",-,-,12.82,2022-05-09,18.786127,4,4,0.311526,0.192678,1.08237
2022-05-05,2022-05-05,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",260,estimated_ad_recallers,1384,1469,0.034,-,-,-,8.84,2022-05-09,18.786127,1,1,0.068074,0.072254,1.061416
2022-05-06,2022-05-06,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",360,estimated_ad_recallers,1960,2098,0.038527777777778,-,-,-,13.87,2022-05-09,18.367347,3,3,0.381316,0.153061,1.070408
2022-05-05,2022-05-05,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",590,estimated_ad_recallers,3218,3399,0.032389830508475,-,-,-,19.11,2022-05-09,18.334369,8,8,0.411886,0.248602,1.056246
2022-05-05,2022-05-05,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",140,estimated_ad_recallers,770,804,0.029285714285714,-,-,-,4.1,2022-05-09,18.181818,,,0.124378,0,1.044156
2022-05-03,2022-05-03,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",20,estimated_ad_recallers,110,113,0.0215,-,-,-,0.43,2022-05-09,18.181818,1,1,0.884956,0.909091,1.027273
2022-05-07,2022-05-07,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",230,estimated_ad_recallers,1274,1326,0.038434782608696,-,-,-,8.84,2022-05-09,18.053375,6,6,0.754148,0.470958,1.040816
2022-05-07,2022-05-07,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",430,estimated_ad_recallers,2396,2542,0.03993023255814,Average,-,-,17.17,2022-05-09,17.946578,6,6,0.275374,0.250417,1.060935
2022-05-06,2022-05-06,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",480,estimated_ad_recallers,2739,2925,0.039416666666667,-,-,-,18.92,2022-05-09,17.524644,7,6,0.410256,0.219058,1.067908
2022-05-03,2022-05-03,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",10,estimated_ad_recallers,60,60,0.021,-,-,-,0.21,2022-05-09,16.666667,,,0,0,1
2022-05-05,2022-05-05,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",250,estimated_ad_recallers,1520,1564,0.02684,-,-,-,6.71,2022-05-09,16.447368,,,0,0,1.028947
2022-05-07,2022-05-07,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",70,estimated_ad_recallers,486,509,0.046285714285714,-,-,-,3.24,2022-05-09,14.403292,,,0,0,1.047325
2022-05-06,2022-05-06,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",60,estimated_ad_recallers,419,426,0.041,-,-,-,2.46,2022-05-09,14.319809,,,0.234742,0,1.016706
2022-05-03,2022-05-03,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",40,estimated_ad_recallers,421,437,0.06075,-,-,-,2.43,2022-05-09,9.501188,1,1,0.228833,0.23753,1.038005
2022-05-03,2022-05-03,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",70,estimated_ad_recallers,771,801,0.059142857142857,-,-,-,4.14,2022-05-09,9.079118,1,1,0.249688,0.129702,1.038911
2022-05-03,2022-05-03,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1,estimated_ad_recallers,24,24,0.05,-,-,-,0.05,2022-05-09,4.166667,,,0,0,1
2022-05-02,2022-05-02,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-02,2022-05-02,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-02,2022-05-02,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-02,2022-05-02,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-02,2022-05-02,Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-02,2022-05-02,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-02,2022-05-02,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-01,2022-05-01,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-01,2022-05-01,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-01,2022-05-01,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-01,2022-05-01,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-01,2022-05-01,Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-01,2022-05-01,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-05-01,2022-05-01,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-30,2022-04-30,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-30,2022-04-30,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-30,2022-04-30,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-30,2022-04-30,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-30,2022-04-30,Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-30,2022-04-30,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-30,2022-04-30,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-29,2022-04-29,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-29,2022-04-29,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-29,2022-04-29,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-29,2022-04-29,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-29,2022-04-29,Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-29,2022-04-29,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-29,2022-04-29,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-28,2022-04-28,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-28,2022-04-28,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-28,2022-04-28,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-28,2022-04-28,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-28,2022-04-28,Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-28,2022-04-28,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-28,2022-04-28,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-27,2022-04-27,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-27,2022-04-27,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-27,2022-04-27,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-27,2022-04-27,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-27,2022-04-27,Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-27,2022-04-27,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-27,2022-04-27,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-26,2022-04-26,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-26,2022-04-26,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-26,2022-04-26,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-26,2022-04-26,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-26,2022-04-26,Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-26,2022-04-26,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-26,2022-04-26,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-25,2022-04-25,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-25,2022-04-25,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-25,2022-04-25,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-25,2022-04-25,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-25,2022-04-25,Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-25,2022-04-25,Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-25,2022-04-25,Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-24,2022-04-24,Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-24,2022-04-24,Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-24,2022-04-24,Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
2022-04-24,2022-04-24,Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,-,-,0,2022-05-09,0,,,0,0,0
