"Ad name",Age,"Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Amount spent (MXN)","Estimated ad recall lift rate","Link clicks","Result rate",Frequency,"Clicks (all)","Reporting starts","Reporting ends","Unique link clicks","CTR (all)","Unique CTR (link click-through rate)"
Julie_Dark,55-64,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",90,estimated_ad_recallers,400,575,0.044666666666667,-,4.02,22.5,,15.652173913043,1.4375,0,2022-05-01,2022-05-10,,0,0
Julie_Dark,45-54,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1690,estimated_ad_recallers,7650,9615,0.039307692307692,-,66.43,22.091503,21,17.576703068123,1.256863,27,2022-05-01,2022-05-10,19,0.280811,0.248366
Julie_Serpent_Nude,55-64,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",90,estimated_ad_recallers,420,543,0.037902471569975,-,3.411222,21.428571,1,16.574585635359,1.292857,2,2022-05-01,2022-05-10,1,0.368324,0.238095
Julie_Serpent_Red,55-64,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",130,estimated_ad_recallers,620,949,0.045475746302295,-,5.911847,20.967742,2,13.698630136986,1.530645,5,2022-05-01,2022-05-10,2,0.52687,0.322581
Julie_Dark,35-44,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1040,estimated_ad_recallers,5093,6210,0.040923076923077,-,42.56,20.420185,16,16.747181964573,1.219321,20,2022-05-01,2022-05-10,16,0.322061,0.314157
Nadine_Negro,55-64,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",80,estimated_ad_recallers,393,485,0.043810802274163,-,3.504864,20.356234,,16.494845360825,1.234097,0,2022-05-01,2022-05-10,,0,0
Noelle_Vino,45-54,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",500,estimated_ad_recallers,2471,2899,0.039617486338798,-,19.808743,20.234723,7,17.247326664367,1.173209,8,2022-05-01,2022-05-10,7,0.275957,0.283286
Noelle_Vino,55-64,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",30,estimated_ad_recallers,149,168,0.038505839494268,-,1.155175,20.134228,,17.857142857143,1.127517,0,2022-05-01,2022-05-10,,0,0
Julie_Serpent_Red,45-54,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1850,estimated_ad_recallers,9460,12483,0.042132082109455,-,77.944352,19.556025,14,14.820155411359,1.319556,31,2022-05-01,2022-05-10,14,0.248338,0.147992
Nadine_Negro,45-54,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1030,estimated_ad_recallers,5422,6908,0.050215321774436,-,51.721781,18.99668,21,14.910248986682,1.274069,24,2022-05-01,2022-05-10,21,0.347423,0.387311
Julie_Serpent_Nude,45-54,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1570,estimated_ad_recallers,8392,10087,0.040294694732179,-,63.262671,18.708294,26,15.564588083672,1.201978,36,2022-05-01,2022-05-10,25,0.356895,0.297903
Julie_Cafe,45-54,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",770,estimated_ad_recallers,4213,4849,0.039838984994597,-,30.676018,18.276762,5,15.879562796453,1.150961,13,2022-05-01,2022-05-10,5,0.268097,0.11868
Julie_Cafe,55-64,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",50,estimated_ad_recallers,280,336,0.040407927786499,-,2.020396,17.857143,3,14.880952380952,1.2,4,2022-05-01,2022-05-10,3,1.190476,1.071429
Julie_Serpent_Red,35-44,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1010,estimated_ad_recallers,5658,7000,0.043736436711098,-,44.173801,17.850831,7,14.428571428571,1.237186,11,2022-05-01,2022-05-10,7,0.157143,0.123719
Noelle_Vino,35-44,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",250,estimated_ad_recallers,1419,1653,0.041144326583092,-,10.286082,17.618041,2,15.124016938899,1.164905,3,2022-05-01,2022-05-10,2,0.181488,0.140944
Julie_Serpent_Nude,35-44,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1050,estimated_ad_recallers,6095,7342,0.042805816027791,-,44.946107,17.227235,7,14.301280305094,1.204594,15,2022-05-01,2022-05-10,7,0.204304,0.114848
Nadine_Negro,35-44,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",470,estimated_ad_recallers,2798,3365,0.051134796575315,-,24.033354,16.797713,7,13.967310549777,1.202645,8,2022-05-01,2022-05-10,7,0.237741,0.250179
Julie_Cafe,35-44,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",440,estimated_ad_recallers,2653,3047,0.041530875374625,-,18.273585,16.584998,5,14.440433212996,1.148511,9,2022-05-01,2022-05-10,5,0.295373,0.188466
Julie_Rose_Gold,45-54,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",300,estimated_ad_recallers,1904,2111,0.036233333333333,-,10.87,15.756303,2,14.211274277594,1.108718,4,2022-05-01,2022-05-10,2,0.189484,0.105042
Julie_Rose_Gold,55-64,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",20,estimated_ad_recallers,135,162,0.042,-,0.84,14.814815,,12.345679012346,1.2,0,2022-05-01,2022-05-10,,0,0
Julie_Rose_Gold,35-44,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",220,estimated_ad_recallers,1498,1654,0.039,-,8.58,14.686248,,13.301088270859,1.104139,0,2022-05-01,2022-05-10,,0,0
Nadine_Negro,Unknown,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-01,2022-05-10,,0,0
Noelle_Vino,Unknown,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-01,2022-05-10,,0,0
Julie_Serpent_Red,Unknown,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-01,2022-05-10,,0,0
Julie_Serpent_Nude,Unknown,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-01,2022-05-10,,0,0
Julie_Dark,Unknown,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-01,2022-05-10,,0,0
Julie_Rose_Gold,Unknown,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-01,2022-05-10,,0,0
Julie_Cafe,Unknown,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-01,2022-05-10,,0,0
